Membership_Start,Membership_End_Exclusive,Source_Ticker,Price_Ticker,Company_Name,GICS_Sector,Status_As_Of_2026_07_28,Derivation,Source_URL,Local_Price_Available,Local_Price_First_Date,Local_Price_Last_Date,Local_Price_Observations,Covers_Observed_Membership_Interval
2021-07-29,,AAPL,AAPL,Apple Inc,Information Technology,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,ABBV,ABBV,Abbvie Inc,Health Care,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,ABT,ABT,Abbott Laboratories,Health Care,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,ACN,ACN,Accenture Plc Class A,Information Technology,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,ADBE,ADBE,Adobe Inc,Information Technology,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,2026-03-23,AIG,AIG,American International Group,Financials,Historical_Deleted,Official S&P 100 deletion announcement.,https://press.spglobal.com/2026-03-06-Vertiv-Holdings%2C-Lumentum-Holdings%2C-Coherent%2C-and-EchoStar-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400%2C-and-S-P-SmallCap-600,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,AMGN,AMGN,Amgen Inc,Health Care,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,AMT,AMT,American Tower Reit Corp,Real Estate,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,AMZN,AMZN,Amazon.Com Inc,Consumer Discretionary,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,AVGO,AVGO,Broadcom Inc,Information Technology,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,AXP,AXP,American Express,Financials,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,BA,BA,Boeing,Industrials,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,BAC,BAC,Bank Of America Corp,Financials,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,2022-03-21,BIIB,BIIB,Biogen,Health Care,Historical_Deleted,Official S&P 100 deletion announcement.,https://press.spglobal.com/2022-03-04-Charles-Schwab-Set-to-Join-S-P-100-BellRing-Brands-to-Join-S-P-MidCap-400-Cerence-to-Join-S-P-SmallCap-600,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,BKNG,BKNG,Booking Holdings Inc,Consumer Discretionary,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,BLK,BLK,Blackrock Inc,Financials,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,BMY,BMY,Bristol Myers Squibb,Health Care,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,BNY,BNY,Bank Of New York Mellon Corp,Financials,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,BRKB,BRK-B,Berkshire Hathaway Inc Class B,Financials,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,C,C,Citigroup Inc,Financials,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,CAT,CAT,Caterpillar Inc,Industrials,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,2025-09-22,CHTR,CHTR,Charter Communications,Communication Services,Historical_Deleted,Official S&P 100 deletion announcement.,https://press.spglobal.com/2025-09-05-AppLovin%2C-Robinhood-Markets-and-Emcor-Group-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,CL,CL,Colgate-Palmolive,Consumer Staples,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,CMCSA,CMCSA,Comcast Corp Class A,Communication,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,COF,COF,Capital One Financial Corp,Financials,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,COP,COP,Conocophillips,Energy,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,COST,COST,Costco Wholesale Corp,Consumer Staples,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,CRM,CRM,Salesforce Inc,Information Technology,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,CSCO,CSCO,Cisco Systems Inc,Information Technology,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,CVS,CVS,Cvs Health Corp,Health Care,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,CVX,CVX,Chevron Corp,Energy,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,2022-09-19,DD,DD,DuPont de Nemours,Materials,Historical_Deleted,Official S&P 100 deletion announcement.,https://press.spglobal.com/2022-09-02-CoStar-Group%2C-Invitation-Homes-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400%2C-and-S-P-SmallCap-600,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,DHR,DHR,Danaher Corp,Health Care,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,DIS,DIS,Walt Disney,Communication,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,2025-03-24,DOW,DOW,Dow,Materials,Historical_Deleted,Official S&P 100 deletion announcement.,https://press.spglobal.com/2025-03-07-DoorDash%2C-TKO-Group-Holdings%2C-Williams-Sonoma-and-Expand-Energy-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,DUK,DUK,Duke Energy Corp,Utilities,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,EMR,EMR,Emerson Electric,Industrials,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,2024-03-18,EXC,EXC,Exelon,Utilities,Historical_Deleted,Official S&P 100 deletion announcement.,https://press.spglobal.com/2024-03-01-Super-Micro-Computer-and-Deckers-Outdoor-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,true,2021-07-29,2026-07-28,1254,true
2021-07-29,2025-03-24,F,F,Ford Motor,Consumer Discretionary,Historical_Deleted,Official S&P 100 deletion announcement.,https://press.spglobal.com/2025-03-07-DoorDash%2C-TKO-Group-Holdings%2C-Williams-Sonoma-and-Expand-Energy-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,FDX,FDX,Fedex Corp,Industrials,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,GD,GD,General Dynamics Corp,Industrials,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
